Date,open,high,low,close,volume
01-06-2022,10.34,10.726,9.285,9.445,393895.97
02-06-2022,9.439,10.04,9.29,9.869,292264.472
03-06-2022,9.863,9.92,9.199,9.356,216918.364
04-06-2022,9.356,9.545,9.136,9.451,159298.279
05-06-2022,9.428,9.541,9.256,9.326,121975.848
06-06-2022,9.326,9.928,9.312,9.495,225338.17
07-06-2022,9.495,9.495,8.839,9.217,238368.044
08-06-2022,9.217,9.4,8.902,8.989,205302.884
09-06-2022,8.989,9.462,8.902,9.23,182127.557
10-06-2022,9.23,9.37,8.518,8.66,264845.379
11-06-2022,8.649,8.83,7.911,8,268986.253
12-06-2022,8,8.093,7.378,7.378,360220.977
13-06-2022,7.39,7.461,6.371,7.011,693415.052
14-06-2022,7.04,7.537,6.677,7.342,505266.612
15-06-2022,7.379,8.787,6.834,8.485,599748.733
16-06-2022,8.5,8.528,6.967,7.1,476085.842
17-06-2022,7.129,7.449,7.029,7.268,260253.665
18-06-2022,7.268,7.399,6.475,7.044,343361.33
19-06-2022,7.06,7.64,6.755,7.529,273051.218
20-06-2022,7.516,8.009,7.176,7.869,309003.609
21-06-2022,7.869,8.259,7.667,7.731,261554.34
22-06-2022,7.731,7.829,7.35,7.38,230349.687
23-06-2022,7.38,7.831,7.355,7.78,194343.887
24-06-2022,7.774,8.32,7.709,8.177,226412.505
25-06-2022,8.177,8.354,7.791,8.141,167637.388
26-06-2022,8.129,8.46,7.795,7.827,177121.888
27-06-2022,7.827,8.195,7.687,7.718,195208.982
28-06-2022,7.733,7.985,7.252,7.301,234601.383
29-06-2022,7.307,7.438,6.948,7.029,267770.209
30-06-2022,7.029,7.081,6.628,7.043,252322.094
01-07-2022,7.055,7.235,6.548,6.726,241869.656
02-07-2022,6.726,6.898,6.613,6.806,140225.416
03-07-2022,6.806,6.981,6.614,6.836,134449.867
04-07-2022,6.836,7.198,6.65,7.149,157550.997
05-07-2022,7.149,7.232,6.6,6.826,565255.541
